Tournament_ID,Round_ID,Penalty_Win,Year,Month,Day,Team_Code1,Score1,Score2,Team_Code2
1,22,,2009,3,26,NEP,0,0,PLE
1,22,,2009,3,28,NEP,1,1,KGZ
1,22,,2009,3,30,KGZ,1,1,PLE
1,23,,2009,4,4,LKA,5,1,BRU
1,23,,2009,4,4,TPE,1,1,PAK
1,23,,2009,4,6,PAK,6,0,BRU
1,23,,2009,4,6,LKA,2,1,TPE
1,51,,2009,4,7,MAC,2,0,MNG
1,23,,2009,4,8,LKA,2,2,PAK
1,23,,2009,4,8,TPE,5,0,BRU
1,52,,2009,4,14,MNG,3,1,MAC
1,21,,2009,4,14,TKM,3,1,MDV
1,21,,2009,4,14,PHI,1,0,BHU
1,21,,2009,4,16,MDV,3,2,PHI
1,21,,2009,4,16,TKM,7,0,BHU
1,21,,2009,4,18,TKM,5,0,PHI
1,21,,2009,4,18,MDV,5,0,BHU
1,20,,2009,4,26,BAN,1,0,CAM
1,20,,2009,4,26,MYA,4,0,MAC
1,20,,2009,4,28,MAC,1,2,CAM
1,20,,2009,4,28,BAN,1,2,MYA
1,20,,2009,4,30,CAM,0,1,MYA
1,20,,2009,4,30,BAN,3,0,MAC
1,10,,2010,2,16,TJK,1,2,BAN
1,10,,2010,2,16,LKA,0,4,MYA
1,11,,2010,2,17,IND,1,2,KGZ
1,11,,2010,2,17,PRK,1,1,TKM
1,10,,2010,2,18,LKA,1,3,TJK
1,10,,2010,2,18,BAN,1,2,MYA
1,11,,2010,2,19,KGZ,0,4,PRK
1,11,,2010,2,19,TKM,1,0,IND
1,10,,2010,2,20,LKA,3,0,BAN
1,10,,2010,2,20,MYA,0,3,TJK
1,11,,2010,2,21,IND,0,3,PRK
1,11,,2010,2,21,TKM,1,0,KGZ
1,3,,2010,2,24,TJK,0,2,TKM
1,3,,2010,2,24,PRK,5,0,MYA
1,2,,2010,2,27,TJK,1,0,MYA
1,1,1,2010,2,27,PRK,1,1,TKM
2,68,,2010,10,22,PHI,5,0,TLS
2,68,,2010,10,22,LAO,0,0,CAM
2,68,,2010,10,24,CAM,4,2,TLS
2,68,,2010,10,24,LAO,2,2,PHI
2,68,,2010,10,26,CAM,0,0,PHI
2,68,,2010,10,26,LAO,6,1,TLS
2,10,,2010,12,1,LAO,2,2,THA
2,10,,2010,12,1,IDN,5,1,MAS
2,11,,2010,12,2,SGP,1,1,PHI
2,11,,2010,12,2,VIE,7,1,MYA
2,10,,2010,12,4,MAS,0,0,THA
2,10,,2010,12,4,IDN,6,0,LAO
2,11,,2010,12,5,SGP,2,1,MYA
2,11,,2010,12,5,PHI,2,0,VIE
2,10,,2010,12,7,MAS,5,1,LAO
2,10,,2010,12,7,IDN,2,1,THA
2,11,,2010,12,8,MYA,0,0,PHI
2,11,,2010,12,8,VIE,1,0,SGP
2,93,,2010,12,15,MAS,2,0,VIE
2,93,,2010,12,16,PHI,0,1,IDN
2,92,,2010,12,18,VIE,0,0,MAS
2,92,,2010,12,19,IDN,1,0,PHI
2,91,,2010,12,26,MAS,3,0,IDN
2,90,,2010,12,29,IDN,2,1,MAS
3,53,,2007,10,14,MAD,6,2,COM
3,53,,2007,10,17,SLE,1,0,GNB
3,54,,2007,11,16,DJI,1,0,SOM
3,54,,2007,11,17,COM,0,4,MAD
3,54,,2007,11,17,GNB,0,0,SLE
3,81,,2008,5,31,MWI,8,1,DJI
3,80,,2008,5,31,TOG,1,0,ZAM
3,77,,2008,5,31,RWA,3,0,MTN
3,77,,2008,5,31,MAR,3,0,ETH
3,76,,2008,5,31,BOT,0,0,MAD
3,75,,2008,5,31,SEN,1,0,ALG
3,72,,2008,5,31,UGA,1,0,NIG
3,71,,2008,5,31,NAM,2,1,KEN
3,70,,2008,5,31,TAN,1,1,MRI
3,70,,2008,5,31,CMR,2,0,CPV
3,81,,2008,6,1,EGY,2,1,COD
3,79,,2008,6,1,MLI,4,2,CGO
3,78,,2008,6,1,BDI,1,0,SEY
3,78,,2008,6,1,TUN,1,2,BFA
3,76,,2008,6,1,CIV,1,0,MOZ
3,75,,2008,6,1,LBR,1,1,GAM
3,74,,2008,6,1,GHA,3,0,LBA
3,73,,2008,6,1,EQG,2,0,SLE
3,73,,2008,6,1,NGA,2,0,RSA
3,72,,2008,6,1,ANG,3,0,BEN
3,71,,2008,6,1,GNB,0,0,ZIM
