Round_ID,Name
1,Final
2,3rd Place
90,Final 2nd Leg
94,Final Round-Robin
3,Semifinal
91,Final 1st Leg
6,5th Place
9,5th Place Round-Robin
92,Semfinal 2nd Leg
7,Plate Semifinals
93,Semifinal 1st Leg
95,7th Place
4,Quarter Finals
8,Plate Quarterfinals
5,1/8 Finals
10,Final Group A
11,Final Group B
12,Final Group C
13,Final Group D
14,Final Group E
15,Final Group F
16,Final Group G
17,Final Group H
18,Final Group I
19,Final Group J
60,Playoff League A Final
62,Playoff League B Final
64,Playoff League C Final
66,Playoff League D Final
69,Playoff 2nd Leg
61,Playoff League A Semifinal
63,Playoff League B Semifinal
65,Playoff League C Semifinal
67,Playoff League D Semifinal
68,Playoff 1st Leg
20,Playoff Group A
21,Playoff Group B
22,Playoff Group C
23,Playoff Group D
24,Playoff Group E
25,Playoff Group F
26,Playoff Group G
27,Playoff Group H
28,Playoff Group I
29,Playoff Group J
30,Playoff Group K
31,Playoff Group L
32,Playoff Group M
33,Playoff Group N
34,Playoff Group O
52,Qualifier 2nd Leg
70,Qualifier Group A
71,Qualifier Group B
72,Qualifier Group C
73,Qualifier Group D
74,Qualifier Group E
75,Qualifier Group F
76,Qualifier Group G
77,Qualifier Group H
78,Qualifier Group I
79,Qualifier Group J
80,Qualifier Group K
81,Qualifier Group L
51,Qualifier 1st Leg
54,Pre-Qaulifier 2nd Leg
100,Pre-Qaulifier Group A
101,Pre-Qaulifier Group B
53,Pre-Qaulifier 1st Leg
56,Preliminary 2nd Leg
55,Preliminary 1st Leg
